allele	iuis	asc	iglabel
IGHV3-43PC*02	IGHV3-25*05	IGHV3-43PC*02	IGHV1-LNCT*00
IGHV3-43PC*03	IGHV3-25*03	IGHV3-43PC*03	IGHV1-MQRQ*00
IGHV3-43PC*01	IGHV3-25*02	IGHV3-43PC*01	IGHV1-43PC*00
IGHV3-FBDZ*02	IGHV3-47*02	IGHV3-FBDZ*02	IGHV1-SKW3*00
IGHV3-FBDZ*01	IGHV3-47*01	IGHV3-FBDZ*01	IGHV1-FBDZ*00
IGHV8-DOWS*02	IGHV8-51-1*03	IGHV8-DOWS*02	IGHV1-H2SA*00
IGHV8-DOWS*01	IGHV8-51-1*04	IGHV8-DOWS*01	IGHV1-DOWS*00
IGHV8-DOWS*07	IGHV8-51-1*02	IGHV8-DOWS*07	IGHV1-VXP2*00
IGHV8-DOWS*06	IGHV8-51-1*05	IGHV8-DOWS*06	IGHV1-UFA4*00
IGHV8-DOWS*04	IGHV8-51-1*02_a240g	IGHV8-DOWS*04	IGHV1-JRGV*00
IGHV1-AUTT*01	IGHV1-69-2*01	IGHV1-AUTT*01	IGHV1-AUTT*00
IGHV1-AUTT*02	IGHV1-69-2*01_c201t	IGHV1-AUTT*02	IGHV1-FDH4*00
IGHV5-4DTG*04	IGHV5-51*07	IGHV5-4DTG*04	IGHV1-UE5J*00
IGHV5-4DTG*03	IGHV5-51*01	IGHV5-4DTG*03	IGHV1-EDQZ*00
IGHV5-4DTG*02	IGHV5-51*03	IGHV5-4DTG*02	IGHV1-CZBS*00
IGHV5-4DTG*01	IGHV5-51*06	IGHV5-4DTG*01	IGHV1-4DTG*00
IGHV3-6B3Z*18	IGHV3-53*02_g124a	IGHV3-6B3Z*18	IGHV1-SS4P*00
IGHV3-6B3Z*01	IGHV3-53*02	IGHV3-6B3Z*01	IGHV1-6B3Z*00
IGHV3-6B3Z*06	IGHV3-53*05	IGHV3-6B3Z*06	IGHV1-CD4N*00
IGHV3-AJDG*02	IGHV3-74*01	IGHV3-AJDG*02	IGHV1-PHVP*00
IGHV3-JMEH*03	IGHV3-73*02	IGHV3-JMEH*03	IGHV1-ZKLP*00
IGHV3-ITHP*02	IGHV3-38-3*01_t300c	IGHV3-ITHP*02	IGHV1-MR46*00
IGHV3-ITHP*03	IGHV3-38-3*01	IGHV3-ITHP*03	IGHV1-NJZ4*00
IGHV3-ITHP*01	IGHV3-38-3*01_c262t	IGHV3-ITHP*01	IGHV1-ITHP*00
IGHV3-6B3Z*10	IGHV3-53*01_t267g	IGHV3-6B3Z*10	IGHV1-IK6Y*00
IGHV3-6B3Z*03	IGHV3-53*01_g273a	IGHV3-6B3Z*03	IGHV1-7AJQ*00
IGHV3-6B3Z*21	IGHV3-53*01_g273a_c288t_c300t	IGHV3-6B3Z*21	IGHV1-XW5Y*00
IGHV3-6B3Z*02	IGHV3-53*01	IGHV3-6B3Z*02	IGHV1-6NMF*00
IGHV3-6B3Z*11	IGHV3-66*03_t175g	IGHV3-6B3Z*11	IGHV1-IKEG*00
IGHV3-6B3Z*05	IGHV3-66*03	IGHV3-6B3Z*05	IGHV1-BGXO*00
IGHV3-6B3Z*17	IGHV3-53*04	IGHV3-6B3Z*17	IGHV1-SNLS*00
IGHV3-6AE4*04	IGHV3-64*02	IGHV3-6AE4*04	IGHV1-ZRUT*00
IGHV3-2WLF*01	IGHV3-62*03	IGHV3-2WLF*01	IGHV1-2WLF*00
IGHV3-3CQT*01	IGHV3-23*04_g31a_t52a_c113g	IGHV3-3CQT*01	IGHV1-3CQT*00
IGHV3-4XBI*05	IGHV3-21*03	IGHV3-4XBI*05	IGHV1-LBO7*00
IGHV3-4XBI*04	IGHV3-21*01_g315a	IGHV3-4XBI*04	IGHV1-KXWW*00
IGHV3-4XBI*01	IGHV3-21*01	IGHV3-4XBI*01	IGHV1-4XBI*00
IGHV3-4XBI*06	IGHV3-21*06	IGHV3-4XBI*06	IGHV1-NLPL*00
IGHV3-4XBI*03	IGHV3-21*07	IGHV3-4XBI*03	IGHV1-FCSA*00
IGHV3-4XBI*02	IGHV3-21*05	IGHV3-4XBI*02	IGHV1-6QVE*00
IGHV3-AJDG*01	IGHV3-74*01_c21t	IGHV3-AJDG*01	IGHV1-AJDG*00
IGHV3-7A77*03	IGHV3-49*05	IGHV3-7A77*03	IGHV1-EPH5*00
IGHV3-3LLP*05	IGHV3-15*01_g46a	IGHV3-3LLP*05	IGHV1-ERKS*00
IGHV3-OAAD*02	IGHV3-69-1*01	IGHV3-OAAD*02	IGHV1-YX7I*00
IGHV3-OAAD*01	IGHV3-69-1*02	IGHV3-OAAD*01	IGHV1-OAAD*00
IGHV3-3LLP*01	IGHV3-15*01_g147a	IGHV3-3LLP*01	IGHV1-3LLP*00
IGHV3-3LLP*02	IGHV3-15*01	IGHV3-3LLP*02	IGHV1-44ND*00
IGHV3-3LLP*03	IGHV3-15*07	IGHV3-3LLP*03	IGHV1-B2B5*00
IGHV3-3LLP*06	IGHV3-15*07_c159t	IGHV3-3LLP*06	IGHV1-V5AH*00
IGHV3-7A77*05	IGHV3-49*04	IGHV3-7A77*05	IGHV1-VHOF*00
IGHV3-7A77*01	IGHV3-49*03_g207c	IGHV3-7A77*01	IGHV1-7A77*00
IGHV3-7A77*04	IGHV3-49*03	IGHV3-7A77*04	IGHV1-MAQN*00
IGHV3-7A77*02	IGHV3-49*03_c309t	IGHV3-7A77*02	IGHV1-CFJC*00
IGHV3-3VUL*01	IGHV3-38*01	IGHV3-3VUL*01	IGHV1-3VUL*00
IGHV3-3VUL*02	IGHV3-38*02	IGHV3-3VUL*02	IGHV1-7SAN*00
IGHV3-3VUL*03	IGHV3-38*03	IGHV3-3VUL*03	IGHV1-7SPR*00
IGHV3-4JBP*02	IGHV3-48*03	IGHV3-4JBP*02	IGHV1-5ONH*00
IGHV3-55JG*05	IGHV3-35*01_g145c	IGHV3-55JG*05	IGHV1-YVMB*00
IGHV3-55JG*03	IGHV3-35*02	IGHV3-55JG*03	IGHV1-HBQO*00
IGHV3-55JG*01	IGHV3-35*01	IGHV3-55JG*01	IGHV1-55JG*00
IGHV3-3CQT*05	IGHV3-23*04_t52a	IGHV3-3CQT*05	IGHV1-JTSE*00
IGHV3-3CQT*02	IGHV3-23*04_t52a_c113g	IGHV3-3CQT*02	IGHV1-63M2*00
IGHV3-6OT2*04	IGHV3-16*02	IGHV3-6OT2*04	IGHV1-UGDP*00
IGHV3-6OT2*05	IGHV3-16*03	IGHV3-6OT2*05	IGHV1-Z6FA*00
IGHV3-3XNV*09	IGHV3-13*04	IGHV3-3XNV*09	IGHV1-XBZL*00
IGHV3-3XNV*08	IGHV3-13*06	IGHV3-3XNV*08	IGHV1-X3OP*00
IGHV3-3XNV*01	IGHV3-13*01_g290a	IGHV3-3XNV*01	IGHV1-3XNV*00
IGHV3-3XNV*04	IGHV3-13*01	IGHV3-3XNV*04	IGHV1-G3UN*00
IGHV3-3XNV*05	IGHV3-13*01_c210t	IGHV3-3XNV*05	IGHV1-HFFZ*00
IGHV3-3XNV*07	IGHV3-13*05	IGHV3-3XNV*07	IGHV1-X2Z6*00
IGHV3-4JBP*04	IGHV3-48*04	IGHV3-4JBP*04	IGHV1-JMAI*00
IGHV3-4JBP*03	IGHV3-48*02	IGHV3-4JBP*03	IGHV1-6V26*00
IGHV3-4JBP*01	IGHV3-48*01	IGHV3-4JBP*01	IGHV1-4JBP*00
IGHV3-2O62*03	IGHV3-62*03_3494	IGHV3-2O62*03	IGHV1-QHVQ*00
IGHV3-3CQT*04	IGHV3-23*04/IGHV3-23D*01_t13g	IGHV3-3CQT*04	IGHV1-HQCF*00
IGHV3-3XNV*03	IGHV3-13*01_c90t	IGHV3-3XNV*03	IGHV1-EEYY*00
IGHV3-3XNV*06	IGHV3-13*01_c77g_g224a	IGHV3-3XNV*06	IGHV1-K2RD*00
IGHV3-6OT2*02	IGHV3-16*04	IGHV3-6OT2*02	IGHV1-GVNH*00
IGHV3-4LYT*02	IGHV3-11*04_c1g	IGHV3-4LYT*02	IGHV1-7ZBL*00
IGHV3-KQKW*01	IGHV3-72*01_t186c	IGHV3-KQKW*01	IGHV1-KQKW*00
IGHV3-KQKW*02	IGHV3-72*01	IGHV3-KQKW*02	IGHV1-SVPK*00
IGHV3-KQKW*04	IGHV3-72*01_c54t	IGHV3-KQKW*04	IGHV1-ZTRB*00
IGHV3-3PAY*06	IGHV3-7*03_g49a	IGHV3-3PAY*06	IGHV1-NCKC*00
IGHV3-JMEH*02	IGHV3-73*01	IGHV3-JMEH*02	IGHV1-W2NP*00
IGHV3-6B3Z*15	IGHV3-66*02_t121c	IGHV3-6B3Z*15	IGHV1-MT6T*00
IGHV3-6B3Z*07	IGHV3-66*01	IGHV3-6B3Z*07	IGHV1-DRTK*00
IGHV3-6B3Z*14	IGHV3-66*02	IGHV3-6B3Z*14	IGHV1-MFKJ*00
IGHV3-6B3Z*04	IGHV3-66*01_a193g	IGHV3-6B3Z*04	IGHV1-B33J*00
IGHV3-6B3Z*16	IGHV3-66*02_g175t	IGHV3-6B3Z*16	IGHV1-SFHI*00
IGHV3-6AE4*01	IGHV3-64*01_t296c	IGHV3-6AE4*01	IGHV1-6AE4*00
IGHV3-6AE4*03	IGHV3-64*01	IGHV3-6AE4*03	IGHV1-NIM4*00
IGHV3-6AE4*02	IGHV3-64*07	IGHV3-6AE4*02	IGHV1-AJUR*00
IGHV3-3PAY*01	IGHV3-7*05	IGHV3-3PAY*01	IGHV1-3PAY*00
IGHV3-3PAY*02	IGHV3-7*04	IGHV3-3PAY*02	IGHV1-6U2I*00
IGHV3-3PAY*08	IGHV3-7*04_320a320	IGHV3-3PAY*08	IGHV1-ZPGL*00
IGHV3-3PAY*07	IGHV3-7*03	IGHV3-3PAY*07	IGHV1-S2KR*00
IGHV3-3PAY*03	IGHV3-7*01_g315a	IGHV3-3PAY*03	IGHV1-FAD3*00
IGHV3-3PAY*04	IGHV3-7*01	IGHV3-3PAY*04	IGHV1-FOWS*00
IGHV3-JMEH*01	IGHV3-73*01_a59g	IGHV3-JMEH*01	IGHV1-JMEH*00
IGHV3-24HV*01	IGHV3-64D*09	IGHV3-24HV*01	IGHV1-24HV*00
IGHV3-24HV*02	IGHV3-64D*06	IGHV3-24HV*02	IGHV1-EYNX*00
IGHV3-24HV*03	IGHV3-64D*08	IGHV3-24HV*03	IGHV1-P4UE*00
IGHV3-7EYU*01	IGHV3-20*01	IGHV3-7EYU*01	IGHV1-7EYU*00
IGHV3-7EYU*02	IGHV3-20*04	IGHV3-7EYU*02	IGHV1-AAAI*00
IGHV3-7EYU*03	IGHV3-20*02	IGHV3-7EYU*03	IGHV1-T63W*00
IGHV3-3CQT*03	IGHV3-23*01_t76a	IGHV3-3CQT*03	IGHV1-6XSD*00
IGHV3-3CQT*06	IGHV3-23*01/IGHV3-23D*01	IGHV3-3CQT*06	IGHV1-KOPG*00
IGHV3-NYRR*02	IGHV3-23*03	IGHV3-NYRR*02	IGHV1-TXV5*00
IGHV3-3LLP*04	IGHV3-15*01_c10g	IGHV3-3LLP*04	IGHV1-E74V*00
IGHV3-3PAY*05	IGHV3-7*01_a8g	IGHV3-3PAY*05	IGHV1-ISXL*00
IGHD6-5X42*01	IGHD6-6*01	IGHD6-5X42*01	IGHD1-5X42*00
IGHJ1-VWSM*01	IGHJ1*01	IGHJ1-VWSM*01	IGHJ1-VWSM*00
IGHD6-G3XM*02	IGHD6-25*01_g13a	IGHD6-G3XM*02	IGHD1-ZN35*00
IGHD6-5VO4*02	IGHD6-13*01	IGHD6-5VO4*02	IGHD1-EMSF*00
IGHD6-G3XM*01	IGHD6-25*01	IGHD6-G3XM*01	IGHD1-G3XM*00
IGHD6-5VO4*01	IGHD6-19*01	IGHD6-5VO4*01	IGHD1-5VO4*00
IGHD1-5ABL*05	IGHD1-1*01	IGHD1-5ABL*05	IGHD1-Y3MH*00
IGHD1-5ABL*03	IGHD1-14*01_g10a	IGHD1-5ABL*03	IGHD1-PQGD*00
IGHD1-5ABL*02	IGHD1-14*01	IGHD1-5ABL*02	IGHD1-C6NR*00
IGHD1-5ABL*04	IGHD1-20*01	IGHD1-5ABL*04	IGHD1-VGC6*00
IGHD1-5ABL*01	IGHD1-7*01	IGHD1-5ABL*01	IGHD1-5ABL*00
IGHD1-FLTI*01	IGHD1-26*01	IGHD1-FLTI*01	IGHD1-FLTI*00
IGHD5-O3PH*01	IGHD5-24*01	IGHD5-O3PH*01	IGHD1-O3PH*00
IGHD3-FMCQ*02	IGHD3-3*01_g8a	IGHD3-FMCQ*02	IGHD1-ZPA7*00
IGHD3-I3HM*01	IGHD3-9*01	IGHD3-I3HM*01	IGHD1-I3HM*00
IGHD3-FMCQ*01	IGHD3-3*01	IGHD3-FMCQ*01	IGHD1-FMCQ*00
IGHD3-JHII*01	IGHD3-22*01	IGHD3-JHII*01	IGHD1-JHII*00
IGHD3-LDJE*02	IGHD3-10*03	IGHD3-LDJE*02	IGHD1-NS4F*00
IGHD3-LDJE*01	IGHD3-10*01	IGHD3-LDJE*01	IGHD1-LDJE*00
IGHD3-3HNK*01	IGHD3-16*03	IGHD3-3HNK*01	IGHD1-3HNK*00
IGHD3-3HNK*02	IGHD3-16*02	IGHD3-3HNK*02	IGHD1-3LM2*00
IGHD5-36AY*02	IGHD5-18*02	IGHD5-36AY*02	IGHD1-73R3*00
IGHD5-CGIC*01	IGHD5-18*01/IGHD5-5*01	IGHD5-CGIC*01	IGHD1-CGIC*00
IGHD5-36AY*01	IGHD5-12*01	IGHD5-36AY*01	IGHD1-36AY*00
IGHD4-ALRC*01	IGHD4-11*01/IGHD4-4*01	IGHD4-ALRC*01	IGHD1-ALRC*00
IGHD4-ALRC*02	IGHD4-17*01	IGHD4-ALRC*02	IGHD1-L4H5*00
IGHD4-F473*02	IGHD4-23*01	IGHD4-F473*02	IGHD1-Y6IG*00
IGHD4-F473*01	IGHD4-23*01_c7t	IGHD4-F473*01	IGHD1-F473*00
IGHJ3-CBX5*01	IGHJ3*02	IGHJ3-CBX5*01	IGHJ1-CBX5*00
